,airline_name,active,country_id,airline_id_new
0,135 Airways,0,243,1
1,3D Aviation,0,243,2
2,40-Mile Air,1,243,3
3,Aloha Airlines,1,243,4
4,Alaska Island Air,0,243,5
5,American Airlines,1,243,6
6,Aviation Management Corporation,0,243,7
7,Atlantis Airlines (USA),0,243,8
8,Astro Air International,0,243,9
9,Allegiant Air,1,243,10
10,Airborne Express,0,243,11
11,ABX Air,0,243,12
12,Academy Airlines,0,243,13
13,Air Aurora,0,243,14
14,Advance Leasing Company,0,243,15
15,Aztec Worldwide Airlines,0,243,16
16,Aerodyne,0,243,17
17,Anderson Aviation,0,243,18
18,Alaska Central Express,1,243,19
19,Airway Express,0,243,20
20,Aerial Transit Company,0,243,21
21,Air Guam,0,243,22
22,Air Cargo America,0,243,23
23,Air Cargo Carriers,1,243,24
24,Atlantic Gulf Airlines,0,243,25
25,Atlantic Coast Airlines,0,243,26
26,Aero Flight Service,0,243,27
27,Aspen Helicopters,0,243,28
28,Alpine Air Express,0,243,29
29,Airlift International,1,243,30
30,Air Illinois,0,243,31
31,Ameristar Jet Charter,0,243,32
32,A2 Jet Leasing,0,243,33
33,Amerijet International,0,243,34
34,Alpha Jet International,0,243,35
35,American Flyers,0,243,36
36,Aero Coach Aviation,0,243,37
37,Atlantic Southeast Airlines,0,243,38
38,Air Logistics,0,243,39
39,Air Lincoln,0,243,40
40,America West Airlines,1,243,41
41,Air Wisconsin,1,243,42
42,Arizona Express Airlines,0,243,43
43,Allegheny Commuter Airlines,1,243,44
44,Alyeska Air Service,0,243,45
45,Air Sunshine,1,243,46
46,Ameriflight,0,243,47
47,Air Specialties Corporation,0,243,48
48,ATA Airlines,1,243,49
49,Air Midwest,0,243,50
50,Air Nevada,0,243,51
51,Air Vegas,0,243,52
52,Atlantic Airlines,0,243,53
53,ACM Aviation,0,243,54
54,Aspen Aviation,0,243,55
55,Arrow Air,1,243,56
56,Apex Air Cargo,0,243,57
57,Aluminum Company Of America,0,243,58
58,Aerodyne Charter Company,0,243,59
59,Air Routing International Corp.,0,243,60
60,Arrowhead Airways,0,243,61
61,Argosy Airways,0,243,62
62,Air Resorts,0,243,63
63,Atlantic Southeast Airlines,1,243,64
64,Air Transport Association,0,243,65
65,Air Charter World,0,243,66
66,Air Travel Corp.,0,243,67
67,Air Transport International,0,243,68
68,Atlas Airlines,0,243,69
69,Austin Express,0,243,70
70,Airvantage Incorporated,0,243,71
71,Action Airlines (Action Air Charter),0,243,72
72,Altus Airlines,0,243,73
73,Arizona Pacific Airways,0,243,74
74,Air Continental Inc,0,243,75
75,Air Newark,0,243,76
76,Angel Flight America,0,243,77
77,Advance Aviation Services,0,243,78
78,Air Spirit,0,243,79
79,Aroostook Aviation,0,243,80
80,American Eagle Airlines,1,243,81
81,Aero Air,0,243,82
82,Aero Industries Inc,0,243,83
83,Aeronautical Radio Inc,0,243,84
84,Air-Rep,0,243,85
85,Air Net Private Charter,0,243,86
86,Aircraft Performance Group,0,243,87
87,Air-Lift Associates,0,243,88
88,Aviation Partners,0,243,89
89,Aviation North,0,243,90
90,AMR Services Corporation,0,243,91
91,Airline Operations Services,0,243,92
92,AT and T Aviation Division,0,243,93
93,Averitt Air Charter,0,243,94
94,American Flight Service Systems,0,243,95
95,Air Charter Professionals,0,243,96
96,Arctic Circle Air Service,0,243,97
97,Aviation Charter Services,0,243,98
98,Air Care Alliance,0,243,99
99,Aquila Air,0,243,100
100,Aero Charter and Transport,0,243,101
101,Air Transport,0,243,102
102,Access Air,1,243,103
103,Air Alpha,0,243,104
104,Astar Air Cargo,0,243,105
105,Aerodynamics Incorporated,0,243,106
106,Aex Air,0,243,107
107,Aero Dynamics,0,243,108
108,Epps Air Service,0,243,109
109,Air Exchange,0,243,110
110,Aviation Data Systems,0,243,111
111,Air Carriers,0,243,112
112,Air Florida,1,243,113
113,Ford Motor Company,0,243,114
114,Aero Charter,0,243,115
115,Airlift Alaska,0,243,116
116,Atlas Air,1,243,117
117,Air Tahoma,0,243,118
118,Avfinity,0,243,119
119,Aerosmith Aviation,0,243,120
120,Air South,0,243,121
121,Av Atlantic,0,243,122
122,American Aviation,0,243,123
123,Air Solutions,0,243,124
124,Atlantic Aero and Mid-Atlantic Freight,0,243,125
125,Asia Pacific Airlines,0,243,126
126,AMP Incorporated,0,243,127
127,Atlantic Richfield Company,0,243,128
128,Air Cargo Express International,0,243,129
129,Atlantic Coast Jet,0,243,130
130,Aero Taxi Aviation,0,243,131
131,Air Center Helicopters,0,243,132
132,Air Mobility Command,0,243,133
133,Air Cargo Masters,0,243,134
134,Anoka Air Charter,0,243,135
135,American Jet International,0,243,136
136,Air San Juan,0,243,137
137,Aeropac,0,243,138
138,Air St. Thomas,0,243,139
139,Air Cargo Express,0,243,140
140,Air Today,0,243,141
141,Airmark Aviation,0,243,142
142,AirTran Airways,1,243,143
143,Avcenter,0,243,144
144,Air LA,0,243,145
145,Air Castle Corporation / Global Airways,0,243,146
146,Baker Aviation,0,243,147
147,Blackhawk Airways,0,243,148
148,Bar Harbor Airlines,0,243,149
149,Basler Flight Service,0,243,150
150,Bighorn Airways,0,243,151
151,Big Island Air,0,243,152
152,Boise Interagency Fire Center,0,243,153
153,Bird Leasing,0,243,154
154,Business Jet Solutions,0,243,155
155,Bankair,0,243,156
156,Barken International,0,243,157
157,Blue Horizon Travel Club,0,243,158
158,Baltic Aviation,0,243,159
159,Bemidji Airlines,1,243,160
160,Bowman Aviation,0,243,161
161,Bancstar - Valley National Corporation,0,243,162
162,Boeing,0,243,163
163,Bering Air,1,243,164
164,Branson Airlines,0,243,165
165,Braniff International Airways,0,243,166
166,Buffalo Express Airlines,0,243,167
167,Big Sky Airlines,0,243,168
168,Baltia Air Lines,0,243,169
169,Business Express,0,243,170
170,Buffalo Airways,0,243,171
171,Baron Aviation Services,0,243,172
172,Redding Aero Enterprises,0,243,173
173,Berry Aviation,0,243,174
174,Baltimore Air Transport,0,243,175
175,Boston-Maine Airways,0,243,176
176,Baltimore Airways,0,243,177
177,Bombardier Business Jet Solutions,0,243,178
178,Butte Aviation,0,243,179
179,Business Airfreight,0,243,180
180,Biz Jet Charter,0,243,181
181,Baseops International,0,243,182
182,C and M Aviation,0,243,183
183,C&M Airways,0,243,184
184,CKC Services,0,243,185
185,CSA Air,0,243,186
186,Cal-West Aviation,0,243,187
187,California Air Shuttle,0,243,188
188,Camai Air,0,243,189
189,Cape Air,1,243,190
190,Cape Central Airways,0,243,191
191,Cape Smythe Air,0,243,192
192,Capital Air Service,0,243,193
193,Capital Cargo International Airlines,0,243,194
194,Capital City Air Carriers,0,243,195
195,Capitol Air Express,0,243,196
196,Capitol Wings Airline,0,243,197
197,Cardinal/Air Virginia,0,243,198
198,Cargo 360,0,243,199
199,Caribbean Express,0,243,200
200,Carroll Air Service,0,243,201
201,Casement Aviation,0,243,202
202,Casino Airline,0,243,203
203,Casper Air Service,0,243,204
204,Castle Aviation,0,243,205
205,Catalina Flying Boats,0,243,206
206,Centennial Airlines,0,243,207
207,Central Airlines,0,243,208
208,Central Aviation,0,243,209
209,Central Flying Service,0,243,210
210,Central Skyport,0,243,211
211,Centre Airlines,0,243,212
212,Centurion Air Cargo,0,243,213
213,Certified Air Dispatch,0,243,214
214,Chalk's Ocean Airways,0,243,215
215,Challenge International Airlines,0,243,216
216,Champion Air,0,243,217
217,Channel Island Aviation,0,243,218
218,Chantilly Air,0,243,219
219,Chaparral Airlines,0,243,220
220,Charlie Hammonds Flying Service,0,243,221
221,Charlotte Air National Guard,0,243,222
222,Chautauqua Airlines,1,243,223
223,Cherokee Express,0,243,224
224,Cherry Air,0,243,225
225,Chesapeake Air Service,0,243,226
226,Chevron U.S.A,0,243,227
227,Cheyenne Airways,0,243,228
228,Chicago Air,0,243,229
229,Chicago Express,0,243,230
230,Chipola Aviation,0,243,231
231,Chippewa Air Commuter,0,243,232
232,Christman Air System,0,243,233
233,Chrome Air Services,0,243,234
234,Church Aircraft,0,243,235
235,Cirrus Air,0,243,236
236,Citationshares,0,243,237
237,Citibank,0,243,238
238,City of Bangor,0,243,239
239,Citylink Airlines,0,243,240
240,Civil Air Patrol South Carolina Wing,0,243,241
241,Clark Aviation,0,243,242
242,Clay Lacy Aviation,0,243,243
243,Coastal Air,1,243,244
244,Coastal Air Transport,0,243,245
245,Coastal Airways,0,243,246
246,Cohlmia Aviation,0,243,247
247,Colemill Enterprises,0,243,248
248,Colgan Air,1,243,249
249,Colt International,0,243,250
250,Columbia Helicopters,0,243,251
251,Columbus Air Transport,0,243,252
252,Colvin Aviation,0,243,253
253,Comair,1,243,254
254,Commonwealth Jet Service,0,243,255
255,CommutAir,1,243,256
256,Compass Airlines,1,243,257
257,Compuflight Operations Service,0,243,258
258,Compuserve Incorporated,0,243,259
259,Condor Aero Services,0,243,260
260,Congressional Air,0,243,261
261,Conquest Airlines,0,243,262
262,Conroe Aviation Services,0,243,263
263,Contel ASC,0,243,264
264,Continental Airlines,1,243,265
265,Continental Express,1,243,266
266,Continental Micronesia,1,243,267
267,Continental Oil,0,243,268
268,Cook Inlet Aviation,0,243,269
269,Copper State Air Service,0,243,270
270,Corporate Air,0,243,271
271,Corporate Air,0,243,272
272,Corporate Aircraft Company,0,243,273
273,Corporate Aviation Services,0,243,274
274,Corporate Flight International,0,243,275
275,Corporate Flight Management,0,243,276
276,Corporate Jets,0,243,277
277,Courier Services,0,243,278
278,Crow Executive Air,0,243,279
279,Crown Air Systems,0,243,280
280,Crown Airways,1,243,281
281,Cryderman Air Service,0,243,282
282,Crystal Shamrock,0,243,283
283,Cumberland Airways (Nicholson Air Service),0,243,284
284,Custom Air Transport,0,243,285
285,D & D Aviation,0,243,286
286,D&K Aviation,0,243,287
287,DSWA,0,243,288
288,Daimler-Chrysler,0,243,289
289,Dallas Express Airlines,0,243,290
290,Danbury Airways,0,243,291
291,Dash Air Charter,0,243,292
292,Dassault Falcon Jet Corporation,0,243,293
293,Date Transformation Corp,0,243,294
294,Dawn Air,0,243,295
295,DayJet,0,243,296
296,Decatur Aviation,0,243,297
297,Deere and Company,0,243,298
298,Delaware Skyways,0,243,299
299,Delta Air Elite,0,243,300
300,Delta Air Lines,1,243,301
301,Delta State University,0,243,302
302,Denver Express,0,243,303
303,Denver Jet,0,243,304
304,Diamond Aviation,0,243,305
305,Digital Equipment Corporation,0,243,306
306,Direct Air,0,243,307
307,Direct Air trading as Midway Connection,0,243,308
308,Discover Air,0,243,309
309,Discovery Airways,0,243,310
310,Dispatch Services,0,243,311
311,Dixie Airways,0,243,312
312,Dolphin Express Airlines,0,243,313
313,Drummond Island Air,0,243,314
314,Duncan Aviation,0,243,315
315,Dwyer Aircraft Services,0,243,316
316,Dynair Services,0,243,317
317,E H Darby Aviation,0,243,318
318,Eagle Aero,0,243,319
319,Eagle Jet Charter,0,243,320
320,Eaglemed (Ballard Aviation),0,243,321
321,East Coast Jets,0,243,322
322,East Hampton Aire,0,243,323
323,East Kansas City Aviation,0,243,324
324,Eastern Carolina Aviation,0,243,325
325,Eastern Metro Express,0,243,326
326,Eastwind Airlines,0,243,327
327,Eckles Aircraft,0,243,328
328,Eclipse Aviation,0,243,329
329,Edgartown Air,0,243,330
330,Edwards Jet Center of Montana,0,243,331
331,Elan Express,0,243,332
332,Elliott Aviation,0,243,333
333,Embassy Freight Company,0,243,334
334,Embry-Riddle Aeronautical University,0,243,335
335,Emery Worldwide Airlines,0,243,336
336,Empire Air Service,0,243,337
337,Empire Airlines,0,243,338
338,Entergy Services,0,243,339
339,Eos Airlines,0,243,340
340,Era Helicopters,0,243,341
341,Erie Airways,0,243,342
342,Evergreen International Airlines,1,243,343
343,Everts Air Alaska/Everts Air Cargo,0,243,344
344,Executive Air Charter,0,243,345
345,Executive Air Fleet,0,243,346
346,Executive Airlines,0,243,347
347,Executive Flight,0,243,348
348,Executive Jet Management,0,243,349
349,Express Air,0,243,350
350,Express Line Aircompany,0,243,351
351,Express Net Airlines,0,243,352
352,Express One International,1,243,353
353,ExpressJet,1,243,354
354,NetJets,0,243,355
355,F.S. Air Service,0,243,356
356,FINFO Flight Inspection Aircraft,0,243,357
357,FLTPLAN,0,243,358
358,Fairways Corporation,0,243,359
359,Falcon Air Express,0,243,360
360,Falwell Aviation,0,243,361
361,Farmingdale State University,0,243,362
362,Farwest Airlines,0,243,363
363,Fayetteville Flying Service and Scheduled Skyways System,0,243,364
364,Federal Armored Service,0,243,365
365,Federal Aviation Administration,0,243,366
366,Federal Express,0,243,367
367,Financial Airxpress,0,243,368
368,Fine Airlines,0,243,369
369,First Flying Squadron,0,243,370
370,Flagship Express Services,0,243,371
371,Flamenco Airways,0,243,372
372,Flamingo Air,0,243,373
373,Flight Alaska,0,243,374
374,Flight Express,0,243,375
375,Flight International,0,243,376
376,Flight Line,0,243,377
377,Flight Ops International,0,243,378
378,Flight Options,0,243,379
379,Flight Trac,0,243,380
380,Flightcraft,0,243,381
381,Flightstar Corporation,0,243,382
382,Flightworks,0,243,383
383,Flint Aviation Services,0,243,384
384,Florida Air,0,243,385
385,Florida Coastal Airlines,0,243,386
386,Florida Department of Agriculture,0,243,387
