,airport_name,latitude,longitude,altitude,timezone1,timezone2,city_id,airport_id_new
0,Goroka Airport,-6.0816898345900015,145.391998291,5282,10,Pacific/Port_Moresby,1,1
1,Madang Airport,-5.20707988739,145.789001465,20,10,Pacific/Port_Moresby,2,2
2,Mount Hagen Kagamuga Airport,-5.826789855957031,144.29600524902344,5388,10,Pacific/Port_Moresby,3,3
3,Nadzab Airport,-6.569803,146.725977,239,10,Pacific/Port_Moresby,4,4
4,Port Moresby Jacksons International Airport,-9.443380355834961,147.22000122070312,146,10,Pacific/Port_Moresby,5,5
5,Wewak International Airport,-3.5838301181800003,143.66900634799998,19,10,Pacific/Port_Moresby,6,6
6,Narsarsuaq Airport,61.1604995728,-45.4259986877,112,-3,America/Godthab,36,7
7,Godthaab / Nuuk Airport,64.19090271,-51.678100585900005,283,-3,America/Godthab,37,8
8,Kangerlussuaq Airport,67.0122218992,-50.7116031647,165,-3,America/Godthab,38,9
9,Thule Air Base,76.5311965942,-68.70320129390001,251,-4,America/Thule,39,10
10,Akureyri Airport,65.66000366210939,-18.07270050048828,6,0,Atlantic/Reykjavik,89,11
11,Egilsstaðir Airport,65.28330230712889,-14.401399612426758,76,0,Atlantic/Reykjavik,90,12
12,Hornafjörður Airport,64.295601,-15.2272,24,0,Atlantic/Reykjavik,91,13
13,Húsavík Airport,65.952301,-17.426001,48,0,Atlantic/Reykjavik,92,14
14,Ísafjörður Airport,66.05809783935547,-23.13529968261719,8,0,Atlantic/Reykjavik,93,15
15,Keflavik International Airport,63.985000610352,-22.605600357055998,171,0,Atlantic/Reykjavik,94,16
16,Patreksfjörður Airport,65.555801,-23.965,11,0,Atlantic/Reykjavik,95,17
17,Reykjavik Airport,64.1299972534,-21.9405994415,48,0,Atlantic/Reykjavik,96,18
18,Siglufjörður Airport,66.133301,-18.9167,10,0,Atlantic/Reykjavik,97,19
19,Vestmannaeyjar Airport,63.42430114746094,-20.27890014648437,326,0,Atlantic/Reykjavik,98,20
20,Sault Ste Marie Airport,46.48500061035156,-84.5093994140625,630,-5,America/Toronto,111,21
21,Winnipeg / St. Andrews Airport,50.0564002991,-97.0325012207,760,-6,America/Winnipeg,236,22
22,Winnipeg / James Armstrong Richardson International Airport,49.909999847399995,-97.2398986816,783,-6,America/Winnipeg,236,23
23,Halifax / CFB Shearwater Heliport,44.639702,-63.499401,144,-4,America/Halifax,157,24
24,Halifax / Stanfield International Airport,44.880798339799995,-63.508598327600005,477,-4,America/Halifax,157,25
25,St. Anthony Airport,51.391899108900006,-56.083099365200006,108,-3.5,America/St_Johns,112,26
26,Tofino / Long Beach Airport,49.079833,-125.77558300000001,80,-8,America/Vancouver,113,27
27,Kugaaruk Airport,68.534401,-89.808098,56,-7,America/Edmonton,114,28
28,Baie Comeau Airport,49.13249969482422,-68.20439910888672,71,-5,America/Toronto,115,29
29,CFB Bagotville,48.33060073852539,-70.99639892578125,522,-5,America/Toronto,116,30
30,Baker Lake Airport,64.29889678960001,-96.077796936,59,-6,America/Winnipeg,117,31
31,Campbell River Airport,49.95080184936523,-125.27100372314452,346,-8,America/Vancouver,118,32
32,Brandon Municipal Airport,49.91,-99.951897,1343,-6,America/Winnipeg,119,33
33,Cambridge Bay Airport,69.1081008911,-105.13800048799999,90,-7,America/Edmonton,120,34
34,Nanaimo Airport,49.054970224899996,-123.869862556,92,-8,America/Vancouver,397,35
35,Nanaimo Harbour Water Airport,49.1833000183,-123.94999694799999,0,-8,America/Vancouver,397,36
36,Castlegar/West Kootenay Regional Airport,49.296398162799996,-117.63200378399999,1624,-8,America/Vancouver,121,37
37,Miramichi Airport,47.007801,-65.449203,108,-4,America/Halifax,122,38
38,Charlo Airport,47.990798999999996,-66.330299,132,-4,America/Halifax,123,39
39,Kugluktuk Airport,67.816704,-115.143997,74,-7,America/Edmonton,124,40
40,Coronation Airport,52.0750007629,-111.444999695,2595,-7,America/Edmonton,125,41
41,Chilliwack Airport,49.1528015137,-121.93900299100001,32,-8,America/Vancouver,126,42
42,Clyde River Airport,70.4860992432,-68.5167007446,87,-5,America/Toronto,127,43
43,Coral Harbour Airport,64.1932983398,-83.3593978882,210,-5,America/Coral_Harbour,128,44
44,Dawson City Airport,64.04309844970703,-139.12800598144528,1215,-8,America/Vancouver,129,45
45,Burwash Airport,61.37110137939453,-139.04100036621094,2647,-8,America/Vancouver,130,46
46,Princeton Airport,49.468101501499994,-120.51100158700001,2298,-8,America/Vancouver,131,47
47,Princeton Airport,49.468101501499994,-120.51100158700001,2298,-8,America/Vancouver,5962,48
48,Princeton Municipal Airport,45.55989838,-93.60820007,980,-6,America/Chicago,131,49
49,Princeton Municipal Airport,45.55989838,-93.60820007,980,-6,America/Chicago,5962,50
50,Deer Lake Airport,49.21080017089844,-57.39139938354492,72,-3.5,America/St_Johns,354,51
51,Deer Lake Airport,52.655799865722656,-94.0614013671875,1092,-6,America/Winnipeg,354,52
52,Dease Lake Airport,58.4221992493,-130.031997681,2600,-8,America/Vancouver,132,53
53,Dauphin Barker Airport,51.10079956054688,-100.052001953125,999,-6,America/Winnipeg,133,54
54,Dawson Creek Airport,55.7422981262207,-120.18299865722656,2148,-7,America/Dawson_Creek,134,55
55,Edmonton International Airport,53.309700012200004,-113.580001831,2373,-7,America/Edmonton,241,56
56,Edmonton City Centre (Blatchford Field) Airport,53.5724983215,-113.52100372299999,2202,-7,America/Edmonton,241,57
57,Arviat Airport,61.0942001343,-94.0708007812,32,-6,America/Winnipeg,135,58
58,Estevan Airport,49.210300445600005,-102.96600341799999,1905,-6,America/Regina,136,59
59,Edson Airport,53.5788993835,-116.46499633799999,3043,-7,America/Edmonton,137,60
60,Eureka Airport,79.9946975708,-85.814201355,256,-6,America/Winnipeg,138,61
61,Eureka Airport,79.9946975708,-85.814201355,256,-6,America/Winnipeg,6901,62
62,Murray Field,40.8033981323,-124.112998962,7,0,Inconnu,138,63
63,Murray Field,40.8033981323,-124.112998962,7,0,Inconnu,6901,64
64,Inuvik Mike Zubko Airport,68.30419921880001,-133.483001709,224,-7,America/Edmonton,139,65
