,plane_name,plane_id
0,Aerospatiale (Nord) 262,1
1,Aerospatiale (Sud Aviation) Se.210 Caravelle,2
2,Aerospatiale SN.601 Corvette,3
3,Aerospatiale/Alenia ATR 42-300,4
4,Aerospatiale/Alenia ATR 42-500,5
5,Aerospatiale/Alenia ATR 42-600,6
6,Aerospatiale/Alenia ATR 72,7
7,Airbus A300,8
8,Airbus A300-600,9
9,Airbus A300-600ST Super Transporter / Beluga,10
10,Airbus A310,11
11,Airbus A318,12
12,Airbus A319,13
13,Airbus A319neo,14
14,Airbus A320,15
15,Airbus A320neo,16
16,Airbus A321,17
17,Airbus A321neo,18
18,Airbus A330,19
19,Airbus A330-200,20
20,Airbus A330-300,21
21,Airbus A330-700 Beluga XL,22
22,Airbus A330-800neo,23
23,Airbus A330-900neo,24
24,Airbus A340,25
25,Airbus A340-200,26
26,Airbus A340-300,27
27,Airbus A340-500,28
28,Airbus A340-600,29
29,Airbus A350,30
30,Airbus A350-1000,31
31,Airbus A350-900,32
32,Airbus A380,33
33,Airbus A380-800,34
34,Antonov AN-12,35
35,Antonov AN-124 Ruslan,36
36,Antonov AN-140,37
37,Antonov An-148,38
38,Antonov An-158,39
39,Antonov An-225 Mriya,40
40,Antonov AN-24,41
41,Antonov AN-26,42
42,Antonov AN-28,43
43,Antonov AN-30,44
44,Antonov AN-32,45
45,Antonov AN-72,46
46,Avro RJ100,47
47,Avro RJ70,48
48,Avro RJ85,49
49,BAe 146,50
50,BAe 146-100,51
51,BAe 146-200,52
52,BAe 146-300,53
53,Beechcraft 1900,54
54,Beechcraft Baron,55
55,Beechcraft Baron / 55 Baron,56
56,Bell 212,57
57,Boeing 707,58
58,Boeing 717,59
59,Boeing 720B,60
60,Boeing 727,61
61,Boeing 727-100,62
62,Boeing 727-200,63
63,Boeing 737,64
64,Boeing 737 MAX 10,65
65,Boeing 737 MAX 7,66
66,Boeing 737 MAX 8,67
67,Boeing 737 MAX 9,68
68,Boeing 737-200,69
69,Boeing 737-300,70
70,Boeing 737-400,71
71,Boeing 737-500,72
72,Boeing 737-600,73
73,Boeing 737-700,74
74,Boeing 737-800,75
75,Boeing 737-900,76
76,Boeing 747,77
77,Boeing 747 LCF Dreamlifter,78
78,Boeing 747-100,79
79,Boeing 747-200,80
80,Boeing 747-300,81
81,Boeing 747-400,82
82,Boeing 747-400D,83
83,Boeing 747-8,84
84,Boeing 747SP,85
85,Boeing 747SR,86
86,Boeing 757,87
87,Boeing 757-200,88
88,Boeing 757-300,89
89,Boeing 767,90
90,Boeing 767-200,91
91,Boeing 767-300,92
92,Boeing 767-400,93
93,Boeing 777,94
94,Boeing 777-200,95
95,Boeing 777-200LR,96
96,Boeing 777-300,97
97,Boeing 777-300ER,98
98,Boeing 777-8,99
99,Boeing 777-9,100
100,Boeing 787,101
101,Boeing 787-10,102
102,Boeing 787-8,103
103,Boeing 787-9,104
104,Bombardier 415,105
105,Bombardier BD-100 Challenger 300,106
106,Bombardier CS100,107
107,Bombardier CS300,108
108,Bombardier Global Express,109
109,British Aerospace (BAC) One Eleven,110
110,British Aerospace 125 series / Hawker/Raytheon 700/800/800XP/850/900,111
111,British Aerospace 125-1000 series / Hawker/Raytheon 1000,112
112,British Aerospace ATP,113
113,British Aerospace Jetstream 31,114
114,British Aerospace Jetstream 32,115
115,British Aerospace Jetstream 41,116
116,Canadair Challenger,117
117,Canadair CL-44,118
118,Canadair Regional Jet 100,119
119,Canadair Regional Jet 1000,120
120,Canadair Regional Jet 200,121
121,Canadair Regional Jet 700,122
122,Canadair Regional Jet 900,123
123,Cessna 152,124
124,Cessna 172,125
125,Cessna 182 Skylane,126
